Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
crud,Chrome 73.0.3683.86,,2019-04-06 20:30:15,2019-04-06 20:30:44,28.909s,ERROR
,,,,,,
Test Cases/insert,Chrome 73.0.3683.86,,2019-04-06 20:30:15,2019-04-06 20:30:29,14.021s,PASSED
"openBrowser(""http://192.168.1.104/sekolah/siswa.html"")",Chrome 73.0.3683.86,,2019-04-06 20:30:15,2019-04-06 20:30:20,4.643s,PASSED
"data = findTestData(""datasiswa"")",Chrome 73.0.3683.86,,2019-04-06 20:30:20,2019-04-06 20:30:21,0.689s,PASSED
"baseUrl = ""http://192.168.1.104/sekolah/siswa.html""",Chrome 73.0.3683.86,,2019-04-06 20:30:21,2019-04-06 20:30:21,0.001s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-04-06 20:30:21,2019-04-06 20:30:21,0.011s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.86,,2019-04-06 20:30:21,2019-04-06 20:30:21,0.083s,PASSED
"takeScreenshot(""screenshoot\StartInsert.jpg"")",Chrome 73.0.3683.86,,2019-04-06 20:30:21,2019-04-06 20:30:21,0.299s,PASSED
for (def index : (0..(data.getRowNumbers() - 1))),Chrome 73.0.3683.86,,2019-04-06 20:30:21,2019-04-06 20:30:29,7.498s,PASSED
"takeScreenshot(""screenshoot\FinishInsert.jpg"")",Chrome 73.0.3683.86,,2019-04-06 20:30:29,2019-04-06 20:30:29,0.387s,PASSED
,,,,,,
Test Cases/update,Chrome 73.0.3683.86,,2019-04-06 20:30:29,2019-04-06 20:30:37,8.036s,ERROR
"openBrowser(""http://localhost/sekolah/siswa.html"")",Chrome 73.0.3683.86,,2019-04-06 20:30:29,2019-04-06 20:30:35,5.535s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-04-06 20:30:35,2019-04-06 20:30:35,0.001s,PASSED
"baseUrl = ""http://localhost/sekolah/siswa.html""",Chrome 73.0.3683.86,,2019-04-06 20:30:35,2019-04-06 20:30:35,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.86,,2019-04-06 20:30:35,2019-04-06 20:30:35,0.024s,PASSED
"selenium.open(""http://localhost/sekolah/siswa.html"")",Chrome 73.0.3683.86,,2019-04-06 20:30:35,2019-04-06 20:30:37,2.084s,PASSED
"selenium.click(""link=Edit"")",Chrome 73.0.3683.86,,2019-04-06 20:30:37,2019-04-06 20:30:37,0.042s,ERROR
,,,,,,
Test Cases/delete,Chrome 73.0.3683.86,,2019-04-06 20:30:37,2019-04-06 20:30:43,5.910s,PASSED
"openBrowser(""http://192.168.1.104/sekolah/siswa.html"")",Chrome 73.0.3683.86,,2019-04-06 20:30:37,2019-04-06 20:30:42,4.464s,PASSED
driver = getWebDriver(),Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.001s,PASSED
"baseUrl = ""http://192.168.1.104/sekolah/siswa.html""",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.024s,PASSED
"selenium.open(""http://192.168.1.104/sekolah/siswa.html"")",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.110s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Edit'])[2]/following::a[1]"")",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.207s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Edit'])[3]/following::a[1]"")",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:42,0.222s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Edit'])[4]/following::a[1]"")",Chrome 73.0.3683.86,,2019-04-06 20:30:42,2019-04-06 20:30:43,0.347s,PASSED
"takeScreenshot(""screenshoot\FinishDelete.jpg"")",Chrome 73.0.3683.86,,2019-04-06 20:30:43,2019-04-06 20:30:43,0.310s,PASSED
