Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo CRUD,Firefox 65.0,,2019-03-20 12:43:05,2019-03-20 12:43:41,36.452s,PASSED
,,,,,,
Test Cases/insert,Firefox 65.0,,2019-03-20 12:43:05,2019-03-20 12:43:27,21.472s,PASSED
"openBrowser(""http://localhost/sekolah/siswa.html"")",Firefox 65.0,,2019-03-20 12:43:06,2019-03-20 12:43:11,4.761s,PASSED
"data = findTestData(""datasiswa"")",Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:11,0.643s,PASSED
"baseUrl = ""http://localhost/sekolah/siswa.html""",Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:11,0.001s,PASSED
driver = getWebDriver(),Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:11,0.007s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:11,0.097s,PASSED
"takeScreenshot(""C:\Program Files\Katalon\screenshoot\StartInsert.jpg"")",Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:11,0.077s,PASSED
for (def index : (0..(data.getRowNumbers() - 1))),Firefox 65.0,,2019-03-20 12:43:11,2019-03-20 12:43:27,15.306s,PASSED
"takeScreenshot(""C:\Program Files\Katalon\screenshoot\FinishInsert.jpg"")",Firefox 65.0,,2019-03-20 12:43:27,2019-03-20 12:43:27,0.106s,PASSED
,,,,,,
Test Cases/update,Firefox 65.0,,2019-03-20 12:43:27,2019-03-20 12:43:35,8.596s,PASSED
"openBrowser(""http://localhost/sekolah/siswa.html"")",Firefox 65.0,,2019-03-20 12:43:27,2019-03-20 12:43:32,4.045s,PASSED
driver = getWebDriver(),Firefox 65.0,,2019-03-20 12:43:32,2019-03-20 12:43:32,0.000s,PASSED
"baseUrl = ""http://localhost/sekolah/siswa.html""",Firefox 65.0,,2019-03-20 12:43:32,2019-03-20 12:43:32,0.000s,PASSED
