Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo CRUD,Firefox 65.0,,2019-03-20 12:37:30,2019-03-20 12:38:09,38.522s,PASSED
,,,,,,
Test Cases/insert,Firefox 65.0,,2019-03-20 12:37:30,2019-03-20 12:37:52,21.225s,PASSED
"openBrowser(""http://localhost/sekolah/siswa.html"")",Firefox 65.0,,2019-03-20 12:37:31,2019-03-20 12:37:35,4.706s,PASSED
"data = findTestData(""datasiswa"")",Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:36,0.643s,PASSED
"baseUrl = ""http://localhost/sekolah/siswa.html""",Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:36,0.000s,PASSED
driver = getWebDriver(),Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:36,0.009s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:36,0.107s,PASSED
"takeScreenshot(""C:\Program Files\Katalon\screenshoot\StartInsert.jpg"")",Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:36,0.070s,PASSED
for (def index : (0..(data.getRowNumbers() - 1))),Firefox 65.0,,2019-03-20 12:37:36,2019-03-20 12:37:51,15.106s,PASSED
"takeScreenshot(""C:\Program Files\Katalon\screenshoot\FinishInsert.jpg"")",Firefox 65.0,,2019-03-20 12:37:51,2019-03-20 12:37:52,0.085s,PASSED
,,,,,,
Test Cases/update,Firefox 65.0,,2019-03-20 12:37:52,2019-03-20 12:38:02,10.405s,PASSED
"openBrowser(""http://localhost/sekolah/siswa.html"")",Firefox 65.0,,2019-03-20 12:37:52,2019-03-20 12:37:56,4.383s,PASSED
driver = getWebDriver(),Firefox 65.0,,2019-03-20 12:37:56,2019-03-20 12:37:56,0.000s,PASSED
"baseUrl = ""http://localhost/sekolah/siswa.html""",Firefox 65.0,,2019-03-20 12:37:56,2019-03-20 12:37:56,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Firefox 65.0,,2019-03-20 12:37:56,2019-03-20 12:37:56,0.048s,PASSED
"selenium.open(""http://localhost/sekolah/siswa.html"")",Firefox 65.0,,2019-03-20 12:37:56,2019-03-20 12:37:56,0.125s,PASSED
"selenium.click(""link=Edit"")",Firefox 65.0,,2019-03-20 12:37:56,2019-03-20 12:37:57,0.187s,PASSED
"selenium.click(""name=nama"")",Firefox 65.0,,2019-03-20 12:37:57,2019-03-20 12:37:57,0.285s,PASSED
"selenium.type(""name=nama"", ""Fikri"")",Firefox 65.0,,2019-03-20 12:37:57,2019-03-20 12:37:57,0.087s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.G'])[1]/following::button[1]"")",Firefox 65.0,,2019-03-20 12:37:57,2019-03-20 12:37:57,0.217s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.F'])[1]/following::a[1]"")",Firefox 65.0,,2019-03-20 12:37:57,2019-03-20 12:37:57,0.154s,PASSED
"selenium.click(""name=nama"")",Firefox 65.0,,2019-03-20 12:37:57,2019-03-20 12:37:58,0.329s,PASSED
"selenium.type(""name=nama"", ""Andre"")",Firefox 65.0,,2019-03-20 12:37:58,2019-03-20 12:37:58,0.127s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.F'])[1]/following::button[1]"")",Firefox 65.0,,2019-03-20 12:37:58,2019-03-20 12:37:58,0.245s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.E'])[1]/following::a[1]"")",Firefox 65.0,,2019-03-20 12:37:58,2019-03-20 12:37:58,0.431s,PASSED
"selenium.click(""name=nama"")",Firefox 65.0,,2019-03-20 12:37:58,2019-03-20 12:37:59,0.776s,PASSED
"selenium.type(""name=nama"", ""Andre"")",Firefox 65.0,,2019-03-20 12:37:59,2019-03-20 12:37:59,0.163s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.E'])[1]/following::button[1]"")",Firefox 65.0,,2019-03-20 12:37:59,2019-03-20 12:38:00,0.458s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.D'])[1]/following::a[1]"")",Firefox 65.0,,2019-03-20 12:38:00,2019-03-20 12:38:00,0.493s,PASSED
"selenium.click(""name=nama"")",Firefox 65.0,,2019-03-20 12:38:00,2019-03-20 12:38:01,0.783s,PASSED
"selenium.type(""name=nama"", ""Fadhullah"")",Firefox 65.0,,2019-03-20 12:38:01,2019-03-20 12:38:01,0.128s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Jl.D'])[1]/following::button[1]"")",Firefox 65.0,,2019-03-20 12:38:01,2019-03-20 12:38:02,0.447s,PASSED
"takeScreenshot(""C:\Program Files\Katalon\screenshoot\FinishUpdate.jpg"")",Firefox 65.0,,2019-03-20 12:38:02,2019-03-20 12:38:02,0.181s,PASSED
,,,,,,
Test Cases/delete,Firefox 65.0,,2019-03-20 12:38:02,2019-03-20 12:38:08,5.758s,PASSED
